CS001,"Together with James, she compiled crosswords for several newspapers and magazines, including People, and it was in 1978 that they launched their own publishing company."
CS002,"Mantell was born in Bridgwater, Somerset, and studied at the University of Bath."
CS003,"Mantell was born in Bridgwater, Somerset, and studied at the University of Bath."
CS004,"Referee Toby Irwin seemed oblivious to what was occurring and by the time Irwin finally stopped the fight, Campbell collapsed to the canvas."
CS005,"Yazan Halwani is a street artist from Beirut, Lebanon that paints murals through a combination of renewed Arabic calligraphy and portraits."
CS006,"The Catholic Institute of Sydney, a tertiary educational facility that is a member institution of the Sydney College of Divinity, delivers theological studies at both undergraduate and postgraduate qualifications and prepares students who are studying for ordination to the priesthood in the Catholic Church."
CS007,"The Catholic Institute of Sydney, a tertiary educational facility that is a member institution of the Sydney College of Divinity, delivers theological studies at both undergraduate and postgraduate qualifications and prepares students who are studying for ordination to the priesthood in the Catholic Church."
CS008,"The Catholic Institute of Sydney, a tertiary educational facility that is a member institution of the Sydney College of Divinity, delivers theological studies at both undergraduate and postgraduate qualifications and prepares students who are studying for ordination to the priesthood in the Catholic Church."
CS009,"Many men took this day as a convenient opportunity to spend the day drinking in the local pub. As a result, the original aim of expressing respect and sympathy to women was totally lost."
CS010,Two of the boatmen are hanged but Morse does not believe that they were the perpetrators.
CS011,Two of the boatmen are hanged but Morse does not believe that they were the perpetrators.
CS012,"Few WikiKnights are ready on day one, ancient scripts tell of apprentices who foolishly challenged a WikiDragon and barely escaped to tell about their misadventure."
CS013,"Few WikiKnights are ready on day one, ancient scripts tell of apprentices who foolishly challenged a WikiDragon and barely escaped to tell about their misadventure."
CS014,"After Pinocchio accidentally sets Lorenzinis theatre on fire, Lorenzini changes career and begins luring unruly children to pleasure island, where they inevitably drink cursed water which turns them into donkeys."
CS015,At 14 she joined the adult movie before that she work at the Salon of her young auntie.
CS016,At 14 she joined the adult movie before that she work at the Salon of her young auntie.
CS017,"One of her most notable projects was Tutti, a restaurant in downtown Lafayette that was an upstairs dining room for adults and a downstairs playroom for children."
CS018,"One of her most notable projects was Tutti, a restaurant in downtown Lafayette that was an upstairs dining room for adults and a downstairs playroom for children."
CS019,"The process of implantation of medical devices is subject to the same complications as any other invasive medical procedure, including infection, inflammation, and pain."
CS020,"The process of implantation of medical devices is subject to the same complications as any other invasive medical procedure, including infection, inflammation, and pain."
CS021,"The process of implantation of medical devices is subject to the same complications as any other invasive medical procedure, including infection, inflammation, and pain."
CS022,"This upgrade will reduce cost and increase flexibility, since any manufactured CBC can be configured for zero to four solid boosters, but the standardized CBC will necessitate a slight performance loss for most medium configurations."
CS023,A Control pitcher is a pitcher who by issuing a below average number of bases on balls exhibits good control of his pitches.
CS024,A Control pitcher is a pitcher who by issuing a below average number of bases on balls exhibits good control of his pitches.
CS025,"Long Yun was an ethnic Yi General, and later Governor of Yunnan, Long Yun was a cousin of Lu Han."
CS026,"Long Yun was an ethnic Yi General, and later Governor of Yunnan, Long Yun was a cousin of Lu Han."
CS027,Carnaval music is often a song written especially for the occasion and is easy to dance to.
CS028,Carnaval music is often a song written especially for the occasion and is easy to dance to.
CS029,Carnaval music is often a song written especially for the occasion and is easy to dance to.
CS030,Since 2003 he is full professor at ETH Zurich and since 2009 he is the Director of the Institute for Mathematical Research at ETH.
CS031,Since 2003 he is full professor at ETH Zurich and since 2009 he is the Director of the Institute for Mathematical Research at ETH.
CS032,"The winners of the two Division Series met in the 2005 National League Championship Series, with the winner of that series becoming the National League champion, and face the American League champion in the 2005 World Series."
CS033,"The winners of the two Division Series met in the 2005 National League Championship Series, with the winner of that series becoming the National League champion, and face the American League champion in the 2005 World Series."
