CS001-SIM-1,CS001,"Together with James, she compiled crosswords for several newspapers and magazines, including People, and it was in 1978 that they launched their own publishing company."," She and James compiled crosswords for multiple newspapers and magazines.  In 1978, they started their own publishing company.", She and James compiled crosswords for multiple newspapers and magazines.
CS001-SIM-2,CS001,"Together with James, she compiled crosswords for several newspapers and magazines, including People, and it was in 1978 that they launched their own publishing company."," She and James compiled crosswords for multiple newspapers and magazines.  In 1978, they started their own publishing company."," In 1978, they started their own publishing company."
CS002-SIM-1,CS002,"Mantell was born in Bridgwater, Somerset, and studied at the University of Bath."," Mantell was born in Bridgwater, Somerset.  He studied at the University of Bath."," Mantell was born in Bridgwater, Somerset."
CS002-SIM-2,CS002,"Mantell was born in Bridgwater, Somerset, and studied at the University of Bath."," Mantell was born in Bridgwater, Somerset.  He studied at the University of Bath.", He studied at the University of Bath.
CS003-SIM-1,CS003,"Mantell was born in Bridgwater, Somerset, and studied at the University of Bath."," Mantell was born in Bridgwater, Somerset.  He studied at the University of Bath."," Mantell was born in Bridgwater, Somerset."
CS003-SIM-2,CS003,"Mantell was born in Bridgwater, Somerset, and studied at the University of Bath."," Mantell was born in Bridgwater, Somerset.  He studied at the University of Bath.", He studied at the University of Bath.
CS004-SIM-1,CS004,"Referee Toby Irwin seemed oblivious to what was occurring and by the time Irwin finally stopped the fight, Campbell collapsed to the canvas.", Toby Irwin was unaware of the situation.  Irwin eventually ended the fight.  Campbell fell to the ground., Toby Irwin was unaware of the situation.
CS004-SIM-2,CS004,"Referee Toby Irwin seemed oblivious to what was occurring and by the time Irwin finally stopped the fight, Campbell collapsed to the canvas.", Toby Irwin was unaware of the situation.  Irwin eventually ended the fight.  Campbell fell to the ground., Irwin eventually ended the fight.
CS004-SIM-3,CS004,"Referee Toby Irwin seemed oblivious to what was occurring and by the time Irwin finally stopped the fight, Campbell collapsed to the canvas.", Toby Irwin was unaware of the situation.  Irwin eventually ended the fight.  Campbell fell to the ground., Campbell fell to the ground.
CS005-SIM-1,CS005,"Yazan Halwani is a street artist from Beirut, Lebanon that paints murals through a combination of renewed Arabic calligraphy and portraits."," Yazan Halwani is a street artist from Beirut, Lebanon.  He paints murals through a combination of renewed Arabic calligraphy and portraits."," Yazan Halwani is a street artist from Beirut, Lebanon."
CS005-SIM-2,CS005,"Yazan Halwani is a street artist from Beirut, Lebanon that paints murals through a combination of renewed Arabic calligraphy and portraits."," Yazan Halwani is a street artist from Beirut, Lebanon.  He paints murals through a combination of renewed Arabic calligraphy and portraits.", He paints murals through a combination of renewed Arabic calligraphy and portraits.
CS006-SIM-1,CS006,"The Catholic Institute of Sydney, a tertiary educational facility that is a member institution of the Sydney College of Divinity, delivers theological studies at both undergraduate and postgraduate qualifications and prepares students who are studying for ordination to the priesthood in the Catholic Church.", The Catholic Institute of Sydney delivers theological studies.  It provides undergraduate and postgraduate qualifications.  It prepares students for ordination to the priesthood in the Catholic Church. It is a member institution of the Sydney College of Divinity., The Catholic Institute of Sydney delivers theological studies.
CS006-SIM-2,CS006,"The Catholic Institute of Sydney, a tertiary educational facility that is a member institution of the Sydney College of Divinity, delivers theological studies at both undergraduate and postgraduate qualifications and prepares students who are studying for ordination to the priesthood in the Catholic Church.", The Catholic Institute of Sydney delivers theological studies.  It provides undergraduate and postgraduate qualifications.  It prepares students for ordination to the priesthood in the Catholic Church. It is a member institution of the Sydney College of Divinity., It provides undergraduate and postgraduate qualifications.
CS006-SIM-3,CS006,"The Catholic Institute of Sydney, a tertiary educational facility that is a member institution of the Sydney College of Divinity, delivers theological studies at both undergraduate and postgraduate qualifications and prepares students who are studying for ordination to the priesthood in the Catholic Church.", The Catholic Institute of Sydney delivers theological studies.  It provides undergraduate and postgraduate qualifications.  It prepares students for ordination to the priesthood in the Catholic Church. It is a member institution of the Sydney College of Divinity., It prepares students for ordination to the priesthood in the Catholic Church.
CS006-SIM-4,CS006,"The Catholic Institute of Sydney, a tertiary educational facility that is a member institution of the Sydney College of Divinity, delivers theological studies at both undergraduate and postgraduate qualifications and prepares students who are studying for ordination to the priesthood in the Catholic Church.", The Catholic Institute of Sydney delivers theological studies.  It provides undergraduate and postgraduate qualifications.  It prepares students for ordination to the priesthood in the Catholic Church. It is a member institution of the Sydney College of Divinity.,It is a member institution of the Sydney College of Divinity.
