CS001,"Together with James, she compiled crosswords for several newspapers and magazines, including People, and it was in 1978 that they launched their own publishing company. "," She and James compiled crosswords for multiple newspapers and magazines. In 1978, they started their own publishing company. "
CS002,"Mantell was born in Bridgwater, Somerset, and studied at the University of Bath. "," Mantell was born in Bridgwater, Somerset. He studied at the University of Bath. "
CS003,"Mantell was born in Bridgwater, Somerset, and studied at the University of Bath. "," Mantell was born in Bridgwater, Somerset. He studied at the University of Bath. "
CS004,"Referee Toby Irwin seemed oblivious to what was occurring and by the time Irwin finally stopped the fight, Campbell collapsed to the canvas. ", Toby Irwin was unaware of the situation. Irwin eventually ended the fight. Campbell fell to the ground. 
CS005,"Yazan Halwani is a street artist from Beirut, Lebanon that paints murals through a combination of renewed Arabic calligraphy and portraits. "," Yazan Halwani is a street artist from Beirut, Lebanon. He paints murals through a combination of renewed Arabic calligraphy and portraits. "
CS006,"The Catholic Institute of Sydney, a tertiary educational facility that is a member institution of the Sydney College of Divinity, delivers theological studies at both undergraduate and postgraduate qualifications and prepares students who are studying for ordination to the priesthood in the Catholic Church. ", The Catholic Institute of Sydney delivers theological studies. It provides undergraduate and postgraduate qualifications. It prepares students for ordination to the priesthood in the Catholic Church. It is a member institution of the Sydney College of Divinity. 
CS007,"The Catholic Institute of Sydney, a tertiary educational facility that is a member institution of the Sydney College of Divinity, delivers theological studies at both undergraduate and postgraduate qualifications and prepares students who are studying for ordination to the priesthood in the Catholic Church. ",The Catholic Institute of Sydney is a tertiary educational facility. It is a member institution of the Sydney College of Divinity. It delivers theological studies at both undergraduate and postgraduate qualifications. It prepares students for ordination to the priesthood in the Catholic Church. 
CS008,"The Catholic Institute of Sydney, a tertiary educational facility that is a member institution of the Sydney College of Divinity, delivers theological studies at both undergraduate and postgraduate qualifications and prepares students who are studying for ordination to the priesthood in the Catholic Church. ", The Catholic Institute of Sydney is a tertiary educational facility. The Institute is a member of the Sydney College of Divinity. It offers theological studies at undergraduate and postgraduate levels. It prepares students for ordination in the Catholic Church. 
CS009,"Many men took this day as a convenient opportunity to spend the day drinking in the local pub. As a result, the original aim of expressing respect and sympathy to women was totally lost. ",Many men spent the day drinking in the pub. The aim of expressing respect to women was lost. 
CS010,Two of the boatmen are hanged but Morse does not believe that they were the perpetrators. , Two boatmen were hanged. Morse does not believe they were guilty. 
CS011,Two of the boatmen are hanged but Morse does not believe that they were the perpetrators. , Two boatmen were hanged. Morse does not believe they were the perpetrators. 
